time_ms,throttle,pitch,roll,yaw,m1,m2,m3,m4
43412,1498,-3.86,3.2,0.24,1000,1000,1000,1000
43544,1498,-3.86,3.24,0.07,1000,1000,1000,1000
43664,1498,-3.84,3.24,0.22,1000,1000,1000,1000
43795,1498,-3.8,3.26,0.11,1000,1000,1000,1000
43932,1498,-3.81,3.23,0.16,1000,1000,1000,1000
44094,1498,-3.83,3.23,-0.02,1000,1000,1000,1000
44227,1498,-3.84,3.19,0.27,1000,1000,1000,1000
44365,1498,-3.87,3.23,0.04,1000,1000,1000,1000
44482,1498,-3.81,3.19,0.41,1000,1000,1000,1000
44620,1498,-3.8,3.21,0.19,1000,1000,1000,1000
44754,1498,-3.78,3.23,0.3,1000,1000,1000,1000
44891,1498,-3.78,3.19,0.06,1000,1000,1000,1000
45029,1498,-3.8,3.19,0.18,1000,1000,1000,1000
45166,1498,-3.82,3.2,0.2,1000,1000,1000,1000
45300,1498,-3.8,3.22,0.37,1000,1000,1000,1000
45441,1498,-3.82,3.22,0.21,1000,1000,1000,1000
45594,1498,-3.77,3.21,-0.03,1000,1000,1000,1000
45709,1498,-3.76,3.21,0.08,1000,1000,1000,1000
45827,1498,-3.76,3.23,0.17,1000,1000,1000,1000
45938,1498,-3.79,3.22,0.26,1000,1000,1000,1000
46075,1498,-3.81,3.21,0.07,1000,1000,1000,1000
46213,1498,-3.82,3.21,0.15,1000,1000,1000,1000
46326,1498,-3.8,3.22,0.23,1000,1000,1000,1000
46462,1498,-3.84,3.23,0.18,1000,1000,1000,1000
46580,1498,-3.84,3.21,-0.08,1000,1000,1000,1000
46763,1498,-3.85,3.22,0.12,1000,1000,1000,1000
46874,1498,-3.86,3.24,0.06,1000,1000,1000,1000
46985,1498,-3.83,3.21,0.12,1000,1000,1000,1000
47124,1498,-3.81,3.21,0.08,1000,1000,1000,1000
47240,1498,-3.79,3.22,0.14,1000,1000,1000,1000
47377,1498,-3.84,3.23,0.08,1000,1000,1000,1000
47557,1498,-3.84,3.25,0.2,1000,1000,1000,1000
47675,1498,-3.85,3.21,0.11,1000,1000,1000,1000
47813,1498,-3.86,3.17,0.22,1000,1000,1000,1000
47970,1498,-3.81,3.2,0.18,1000,1000,1000,1000
48066,1498,-3.8,3.22,0.24,1000,1000,1000,1000
48179,1498,-3.82,3.21,0.26,1000,1000,1000,1000
48296,1498,-3.8,3.2,0.19,1000,1000,1000,1000
48406,1498,-3.81,3.2,0.15,1000,1000,1000,1000
48535,1498,-3.79,3.22,0.21,1000,1000,1000,1000
48653,1498,-3.79,3.21,0.23,1000,1000,1000,1000
48764,1498,-3.8,3.22,0.25,1000,1000,1000,1000
48908,1498,-3.82,3.22,0.39,1000,1000,1000,1000
49089,1498,-3.81,3.2,0.21,1000,1000,1000,1000
49226,1498,-3.79,3.16,0.21,1000,1000,1000,1000
49341,1498,-3.79,3.19,0.21,1000,1000,1000,1000
49481,1498,-3.77,3.2,0.16,1000,1000,1000,1000
49590,1498,-3.75,3.21,0.28,1000,1000,1000,1000
49727,1498,-3.8,3.25,0.28,1000,1000,1000,1000
50003,1498,-3.83,3.23,0.11,1000,1000,1000,1000
50139,1499,-3.83,3.19,0.24,1000,1000,1000,1000
50249,1498,-3.8,3.21,0.24,1000,1000,1000,1000
50365,1499,-3.83,3.24,0.15,1000,1000,1000,1000
50472,1498,-3.83,3.21,0.2,1000,1000,1000,1000
50584,1498,-3.85,3.22,0.2,1000,1000,1000,1000
50724,1498,-3.84,3.19,0.16,1000,1000,1000,1000
50839,1498,-3.84,3.2,0.31,1000,1000,1000,1000
50977,1498,-3.86,3.2,0.27,1000,1000,1000,1000
51107,1498,-3.81,3.2,0.02,1000,1000,1000,1000
51225,1498,-3.84,3.16,0.15,1000,1000,1000,1000
51340,1498,-3.83,3.18,0.27,1000,1000,1000,1000
51451,1498,-3.83,3.18,0.27,1000,1000,1000,1000
51657,1498,-3.8,3.23,0.27,1000,1000,1000,1000
51840,1498,-3.81,3.21,0.14,1000,1000,1000,1000
51980,1498,-3.79,3.19,0.08,1000,1000,1000,1000
52141,1498,-3.8,3.2,0.24,1000,1000,1000,1000
52280,1498,-3.8,3.24,0.26,1000,1000,1000,1000
52415,1498,-3.82,3.21,0.17,1000,1000,1000,1000
52527,1498,-3.81,3.22,0.17,1000,1000,1000,1000
52667,1498,-3.82,3.17,0.2,1000,1000,1000,1000
52782,1498,-3.83,3.17,0.1,1000,1000,1000,1000
52898,1498,-3.84,3.2,0.21,1000,1000,1000,1000
53007,1498,-3.84,3.18,0.17,1000,1000,1000,1000
53122,1498,-3.84,3.18,0.12,1000,1000,1000,1000
53240,1498,-3.83,3.21,0.15,1000,1000,1000,1000
53350,1498,-3.82,3.23,0.28,1000,1000,1000,1000
53466,1498,-3.83,3.22,0.16,1000,1000,1000,1000
53585,1498,-3.82,3.2,0.07,1000,1000,1000,1000
53694,1498,-3.8,3.22,0.13,1000,1000,1000,1000
53814,1498,-3.77,3.23,0.14,1000,1000,1000,1000
53943,1498,-3.78,3.22,0.28,1000,1000,1000,1000
54129,1498,-3.82,3.2,0.06,1000,1000,1000,1000
54258,1498,-3.78,3.17,0.24,1000,1000,1000,1000
54371,1498,-3.8,3.22,0.23,1000,1000,1000,1000
54503,1498,-3.81,3.17,0.26,1000,1000,1000,1000
54621,1498,-3.78,3.19,0.08,1000,1000,1000,1000
54734,1498,-3.76,3.2,0.21,1000,1000,1000,1000
54873,1499,-3.79,3.17,0.25,1000,1000,1000,1000
54987,1498,-3.83,3.19,0.25,1000,1000,1000,1000
55102,1498,-3.79,3.2,0.05,1000,1000,1000,1000
55236,1498,-3.83,3.22,0.08,1000,1000,1000,1000
55419,1498,-3.81,3.18,0.08,1000,1000,1000,1000
55557,1498,-3.79,3.19,0.15,1000,1000,1000,1000
55671,1498,-3.8,3.19,0.2,1000,1000,1000,1000
55809,1498,-3.79,3.19,0.11,1000,1000,1000,1000
55946,1498,-3.79,3.19,0.19,1000,1000,1000,1000
56084,1498,-3.83,3.18,0.15,1000,1000,1000,1000
56215,1498,-3.78,3.21,0.23,1000,1000,1000,1000
56352,1498,-3.79,3.19,0.35,1000,1000,1000,1000
56486,1498,-3.76,3.22,0.08,1000,1000,1000,1000
